Language pair,"F1-score (LaBSE, average)","F1-score (LASER, average)","Gromov-Hausdorff dist. (LaBSE, average)","Gromov-Hausdorff dist. (LASER, average)","Singular value gap (LaBSE, average)","Singular value gap (LASER, average)","ECOND-HM (LaBSE, average)","ECOND-HM (LASER, average)","Average margin score (LaBSE, average)","Average margin score (LASER, average)"
Ojibwa-Latvian,0.0109,0.00095,1.9605,1.7462,16499.80185,60411.8457,39.4819,32.6122,0.2629,0.64765
Ojibwa-Chinese,0.0098,0.00095,1.8372,1.6761,11487.6370,60196.6994,56.1346,34.5728,0.37925,0.6762
Ojibwa-Japanese-tok,0.0107,0,1.8991,1.5422,13768.4044,59319.7608,48.2991,39.8906,0.4032,0.6410
Ojibwa-Albanian,0.0116,0,1.92375,1.5011,15528.3641,57252.4405,42.0422,52.4330,0.3255,0.5078
Ojibwa-Basque,0.0029,0,1.7999,1.7044,12758.5158,60135.8895,49.00365,35.8186,0.3909,0.6918
Ojibwa-Esperanto,0.0096,0.00095,1.9116,1.7459,15553.5392,60468.2142,41.7135,32.5060,0.35095,0.6901
Ojibwa-Gujarati,0.0079,0.00095,1.66265,0.5678,16386.0995,15107.1294,41.9239,65.5293,0.2898,0.7648
Ojibwa-Serbian,0.0136,0,1.8993,1.6414,15035.4517,60276.1256,43.2353,37.1715,0.3464,0.6211
Ojibwa-Vietnamese,0.0108,0,1.9207,1.71105,15686.0115,60208.6047,40.682,34.1981,0.3596,0.65055
Ojibwa-German,0.0086,0,1.9344,1.5226,15310.09115,58168.9503,42.5241,50.2167,0.3120,0.5267
Ojibwa-Telugu,0.0048,0,1.8915,1.6156,14366.048,59497.8572,44.5352,36.7818,0.2578,0.6729
Ojibwa-Creole,0.010,0,1.9415,1.4754,14399.0742,58403.7882,46.6535,44.6717,0.4212,0.5736
Ojibwa-Quichua,0.0031,0,1.5546,1.2981,9968.4627,53857.6619,55.3858,48.4516,0.6046,0.66845
Ojibwa-Achuar,0.0128,0,1.5088,1.2164,9262.1289,47192.8674,51.0859,48.5381,0.6255,0.59085
Ojibwa-Malagasy,0.0056,0,1.8880,1.6888,14367.7019,60346.29765,46.9705,35.0642,0.4226,0.6533
Ojibwa-Camsa,0.0011,0,9.3702,9.76765,40483.4067,100557.7009,56.0773,63.30725,0.5949,0.4621
Ojibwa-Swedish,0.0096,0,1.9913,1.5793,16093.6674,59033.5834,40.40845,47.4663,0.3069,0.5727
Ojibwa-Aukan,0,0,1.4380,1.1699,9439.2763,53948.70615,52.6048,44.5781,0.5853,0.6269
Ojibwa-Japanese,0.0107,0,1.92405,1.6378,14501.8293,59901.2634,45.9249,36.2638,0.3196,0.6479
Ojibwa-Spanish,0.0118,0,1.9222,1.69235,15047.5218,60185.3151,44.2401,39.8399,0.3901,0.6244
Ojibwa-Shuar,0.0138,0,1.6016,1.2386,9494.2341,55693.4429,46.9858,48.4128,0.5585,0.5942
Ojibwa-Dutch,0.0061,0.00225,2.2514,1.7375,16335.6698,49564.1228,39.3465,35.9211,0.2314,0.6045
Ojibwa-Slovak,0.0106,0,1.8836,1.75845,16003.7490,60503.37305,40.6329,32.3179,0.2931,0.6834
Ojibwa-Amuzgo,0,0,1.4394,1.1954,8476.7522,55830.8546,52.8011,61.1850,0.6286,0.5774
Ojibwa-Swahili,0.0080,0.00095,1.9664,1.33985,16126.4153,54264.66565,40.4891,54.2449,0.2666,0.4257
Ojibwa-Chinese-tok,0.0098,0.00095,1.8372,1.6760,11487.6370,60197.9122,56.1346,34.5728,0.37925,0.6762
Ojibwa-Danish,0.0108,0,1.9544,1.7500,15309.0582,60298.5849,42.4891,33.3645,0.28965,0.6463
Ojibwa-Amharic,0.01105,0,1.5739,1.7261,14218.0900,42843.5577,44.5388,55.2418,0.3185,0.4300
Ojibwa-Somali,0.0062,0,1.9144,1.1174,14401.39465,41815.61975,45.0641,45.13605,0.3000,0.28295
Ojibwa-Croatian,0.0116,0,1.9117,1.6269,15934.85605,60241.58425,39.7889,37.2275,0.2679,0.6181
Ojibwa-Italian,0.0085,0,1.9720,1.7482,15111.0065,60585.2432,43.1591,32.7329,0.3467,0.64995
Ojibwa-Akawaio,0.0155,0,1.5435,1.4051,8456.5961,57238.12135,49.2783,44.9779,0.5814,0.7088
Ojibwa-Czech,0.0089,0,1.9103,1.5778,14519.6397,59144.62375,44.9314,47.1216,0.3587,0.5683
Ojibwa-Tachelhit,0.0072,0.00115,1.4362,1.4379,9606.9337,57288.9207,57.4083,46.6040,0.5978,0.6557
Ojibwa-Romanian,0.0117,0.00225,1.9528,1.7410,16765.6842,60363.4186,38.7503,34.1952,0.2194,0.6517
Ojibwa-Lithuanian,0.0105,0,2.0111,1.73765,16440.7982,60473.3031,39.41285,34.1988,0.2827,0.6697
Ojibwa-Wolof,0.0029,0,1.4523,1.3365,10448.9774,55642.0699,57.7196,47.74755,0.4622,0.563
Ojibwa-Zulu,0.0125,0,1.9166,1.1198,14831.2083,56804.3567,44.6450,52.6590,0.3368,0.5397
Ojibwa-Thai-tok,0.0076,0,1.9320,1.6789,14701.4177,60006.1159,43.4772,35.1815,0.5003,0.7199
Ojibwa-Malayalam,0.00365,0,1.5811,1.3664,14587.1464,48124.8693,43.9078,53.4596,0.2544,0.5265
Ojibwa-Hebrew,0.0089,0,1.8620,1.7141,13366.9194,60258.4425,47.1022,32.5493,0.48995,0.6809
Ojibwa-Kabyle,0.0018,0.00095,1.4609,1.36985,9331.18585,59052.1061,46.9272,38.5946,0.5464,0.6731
Ojibwa-French,0.0121,0,1.9138,1.7025,15249.2942,60229.6049,42.5633,40.3637,0.2999,0.6131
Ojibwa-Afrikaans,0.0136,0,1.8918,1.7508,15691.8587,60258.6900,41.4792,33.2406,0.3598,0.6772
Aguaruna-Nepali,0.1713,0,0.8302,1.3027,860.2759,3445.2250,39.6079,46.3338,0.6836,0.5794
Aguaruna-Marathi,0.1672,0.00185,0.8315,0.9465,930.0815,1886.7656,38.7210,31.4085,0.6727,0.6617
Aguaruna-Lukpa,0.1240,0,0.6621,0.6024,84.9805,208.6544,48.8661,53.8514,0.7568,0.4722
Aguaruna-Turkish,0.1696,0,4.1632,3.8879,895.2762,17529.7163,38.86605,42.3885,0.6587,0.5040
Aguaruna-Farsi,0.1672,0,0.7606,0.5270,900.77405,1011.3842,37.1886,46.1131,0.6489,0.4109
Aguaruna-Paite,0.1337,0,0.2839,0.36325,7.1097,1.7722,44.4705,42.8216,0.7215,0.5703
Aguaruna-Hindi,0.1480,0.00095,0.7919,0.4899,1035.5633,353.9736,36.1327,46.0860,0.6224,0.4859
Aguaruna-Cherokee,0.0031,0,1.4741,1.3412,7270.6845,33338.5836,51.7363,57.7629,0.5561,0.5595
Aguaruna-K'iche'-SIL,0.2259,0,0.3028,0.6035,3.3154,22.4668,45.5750,45.2102,0.8053,0.6034
Aguaruna-Uma,0.2259,0.00095,1.7926,2.0018,4.7814,5494.1645,50.9812,39.4472,0.8097,0.5949
Aguaruna-Russian,0.2015,0.0028,0.8273,0.5288,872.7742,18.7720,37.20915,42.5039,0.6459,0.5318
Aguaruna-Syriac,0,0,5.8670,8.5116,1429021.5449,1169356.772,37.28365,29.1212,0.4781,0.5215
Aguaruna-Xhosa,0.2069,0,0.7056,0.5895,405.9425,16.8084,43.3147,47.2048,0.6984,0.5112
Aguaruna-English-WEB,0.25665,0.0074,0.7408,0.53715,486.2338,26.3310,42.3431,45.9564,0.75835,0.4706
Aguaruna-K'iche',0,0,1.9064,1.4491,759737.8976,876232.9739,1.9582,1.9554,0.4736,-0.0337
Aguaruna-Thai,0.1656,0.00185,0.8111,0.47815,819.1964,42.3329,37.1070,36.9106,0.6356,0.6128
Aguaruna-Campa,0.0919,0,1.7573,2.0635,9.0280,6654.9517,43.9481,42.2628,0.7362,0.6006
Aguaruna-Q'eqchi',0.2055,0,0.2512,0.5578,6.60095,25.0480,47.5265,41.8893,0.7911,0.5983
Aguaruna-Tagalog,0.22995,0.0030,0.7537,0.6552,679.7177,7.3467,39.1958,34.8882,0.6851,0.6901
Aguaruna-Barasana,0.1957,0,3.4878,3.8477,18.8302,12691.8023,44.0069,58.9235,0.7506,0.38615
Aguaruna-Nahuatl,0.2449,0.00095,0.7308,1.2752,7.6263,3998.9276,51.8894,44.7075,0.8238,0.5892
Aguaruna-Portuguese,0.2129,0.00185,0.7936,0.5637,828.0787,38.6113,38.0614,40.9747,0.6541,0.5531
Aguaruna-Zarma,0.1806,0.00095,0.4281,0.4504,5.3859,8.3715,51.916,44.1517,0.77075,0.5236
Aguaruna-Korean,0.1413,0.00095,0.7577,0.5603,402.4268,46.47955,43.6652,46.0258,0.6354,0.4767
Aguaruna-Coptic,0,0,5.3114,4.96825,314490.2352,1411728.765,49.9444,32.8162,0.4975,0.6007
Aguaruna-Hungarian,0.1937,0,0.7507,0.6044,473.7950,74.0304,41.2443,30.11485,0.67195,0.6668
Aguaruna-Shona,0.1743,0,0.7063,0.4422,465.54645,5.0769,42.8377,40.8434,0.6848,0.5670
Aguaruna-Cebuano,0.2411,0.00095,0.767,0.5172,770.59025,1.5389,38.7131,38.2236,0.71085,0.6576
Aguaruna-Ewe,0.2169,0,0.5164,0.7545,2.0134,2.5339,47.2222,43.8646,0.7803,0.5911
Aguaruna-Norwegian,0.1883,0.0037,0.82355,0.5366,915.4871,30.6350,37.1977,40.3071,0.6417,0.57215
Aguaruna-Vietnamese-tok,0.16635,0,0.7566,0.6310,768.1819,51.0761,37.8334,31.2754,0.6856,0.6770
Aguaruna-Wolaytta,0.1524,0,1.3233,2.37705,9.4207,4619.4119,42.5549,48.64295,0.80255,0.50535
Aguaruna-Kannada,0.1644,0,0.7942,2.1153,698.1123,180113.6678,39.6055,51.0742,0.6565,0.6028
Aguaruna-Dinka,0.1320,0,0.5138,0.3755,13.1641,321.0779,41.5447,44.9533,0.7018,0.5646
Aguaruna-Indonesian,0.2154,0.0021,0.9147,1.2672,917.62175,1367.5326,38.4030,41.7317,0.6559,0.5518
Aguaruna-English,0.2397,0.00465,0.6964,0.5471,377.8907,242.6610,44.1898,45.2969,0.7270,0.3664
Aguaruna-Myanmar,0.14185,0,0.7172,0.5951,338.6177,242.6151,42.27185,46.3842,0.6568,0.7251
Aguaruna-Jakalteko,0.1892,0,1.0680,0.9652,18.24155,5759.1073,44.5626,47.0156,0.7836,0.5876
Aguaruna-Slovene,0.2136,0.0040,0.7856,0.61965,654.47835,80.6515,39.3119,29.3203,0.6616,0.65345
Aguaruna-Greek,0.1824,0.0037,0.6788,0.6799,345.08585,73.9041,44.0171,29.1994,0.6684,0.6667
Aguaruna-Chinantec,0.1393,0,0.7118,0.9656,79.2508,2554.5707,48.1345,49.2432,0.7811,0.5995
Aguaruna-Icelandic,0.2035,0.00465,0.8282,0.6429,1101.0752,65.4773,35.6184,30.7515,0.6658,0.6748
Aguaruna-Polish,0.1986,0.0065,0.8225,0.5075,825.2639,27.9482,37.9469,41.3536,0.6582,0.5592
Aguaruna-Romani,0.2241,0,0.6138,0.9093,21.0237,357.6377,52.2468,36.5432,0.7718,0.6247
Aguaruna-Maori,0.1554,0,0.7215,0.3395,519.8465,1.2084,41.4701,39.8578,0.6423,0.60645
Aguaruna-Cabecar,0.2759,0.0021,0.6130,0.5012,7.3169,2.36055,49.68765,38.85835,0.8413,0.6648
Aguaruna-Mam,0.1993,0,0.5340,0.6312,14.5609,849.5885,45.2426,41.2799,0.8041,0.6309
Aguaruna-Latvian,0.1724,0.00185,0.8099,0.6768,1041.4559,69.4581,36.32035,29.7559,0.6226,0.6678
Aguaruna-Chinese,0.1543,0,0.6957,0.57065,119.5376,48.9723,50.0659,31.3828,0.6022,0.67025
Aguaruna-Japanese-tok,0.1996,0.0028,0.75535,0.4457,425.2641,26.5519,43.6974,35.6372,0.7284,0.6383
Aguaruna-Albanian,0.2118,0.0037,0.78475,0.5093,797.06535,17.6500,38.5097,45.5197,0.6743,0.5090
Aguaruna-Basque,0.1910,0.00115,0.68305,0.7174,260.0168,55.7426,44.2962,32.4297,0.7070,0.64765
Aguaruna-Esperanto,0.2212,0.0040,0.7949,0.6621,801.6396,74.8839,38.2413,29.6664,0.66665,0.6591
Aguaruna-Gujarati,0.1756,0,0.8431,1.2864,1019.5236,35872.2220,38.36755,55.1287,0.6831,0.5821
Aguaruna-Serbian,0.2120,0.00555,0.7495,0.5536,683.6987,61.8204,39.4980,33.5606,0.6630,0.6111
Aguaruna-Vietnamese,0.1798,0,0.7850,0.5998,837.5963,57.16345,37.3571,31.0847,0.6747,0.6726
Aguaruna-German,0.21475,0.00185,0.7924,0.5469,744.0686,16.1607,38.8964,43.8384,0.6476,0.5243
Aguaruna-Telugu,0.1131,0.00095,0.76295,0.7313,540.8769,22.18495,40.5718,33.217,0.6236,0.6861
Aguaruna-Creole,0.2005,0,0.8012,0.7035,548.5715,2.3363,42.34755,39.5401,0.65665,0.5841
Aguaruna-Quichua,0.2125,0.00095,0.6352,0.9142,3.8586,2438.4190,49.59155,42.4740,0.7924,0.5938
Aguaruna-Achuar,0.3690,0.00115,2.0403,2.6340,4.85575,7225.3674,46.0492,42.5494,0.8979,0.6167
Aguaruna-Malagasy,0.2009,0.00095,0.7408,0.6564,540.1342,56.3677,42.63205,31.79775,0.6809,0.6595
Aguaruna-Camsa,0.22645,0.00095,9.3702,9.76765,61107.8567,179725.0621,49.9131,53.3273,0.7165,0.4699
Aguaruna-Swedish,0.21365,0.00465,0.8346,0.4686,933.6821,29.9612,37.1183,41.71735,0.6711,0.5650
Aguaruna-Aukan,0.1674,0,0.74725,0.9809,4.4902,1871.56795,47.2724,39.5066,0.7883,0.5960
Aguaruna-Japanese,0.2066,0.0037,0.7735,0.5022,568.9871,46.4575,41.7533,32.7343,0.7039,0.6455
Aguaruna-Spanish,0.2397,0.0065,0.7796,0.5260,684.7968,60.8137,40.3460,35.71155,0.6627,0.6064
Aguaruna-Shuar,0.1284,0.00115,1.2739,1.6239,2.0460,858.6283,42.6961,42.4548,0.8302,0.6161
Aguaruna-Dutch,0.1775,0.0049,3.0091,2.9354,1004.0187,7156.2900,36.2080,32.5269,0.6264,0.6041
Aguaruna-Slovak,0.1899,0.0028,0.7518,0.6273,912.8063,75.1473,37.3229,29.5058,0.6346,0.6605
Aguaruna-Amuzgo,0.2279,0,0.5080,0.6934,45.44725,67.7112,47.3524,51.9737,0.8277,0.5449
Aguaruna-Swahili,0.2095,0,0.8191,0.4505,943.9078,120.2122,37.2119,46.8582,0.6933,0.4079
Aguaruna-Chinese-tok,0.1543,0,0.6958,0.5705,119.5376,48.9722,50.0659,31.3828,0.6022,0.67025
Aguaruna-Danish,0.2034,0.0037,0.8062,0.5409,742.7607,65.9016,38.8911,30.3904,0.6485,0.6317
Aguaruna-Amharic,0.17245,0,2.10835,3.0547,514.7685,8194.5900,40.5794,47.6110,0.6478,0.4251
Aguaruna-Somali,0.17155,0,0.7579,0.7879,548.9397,3341.4402,41.0394,39.90915,0.6779,0.23505
Aguaruna-Croatian,0.2286,0.0030,0.84155,0.5338,896.5410,64.1142,36.6017,33.5838,0.6735,0.6088
Aguaruna-Italian,0.2121,0.0040,0.8237,0.5220,700.4112,81.0617,39.4442,29.8663,0.6469,0.6314
Aguaruna-Akawaio,0.1040,0,0.3893,0.7910,47.4533,9.4540,44.5514,39.7832,0.7811,0.5927
Aguaruna-Czech,0.2053,0.00095,0.7606,0.5677,571.3155,27.5362,40.9355,41.4857,0.65725,0.5526
Aguaruna-Tachelhit,0.0302,0.00115,0.3725,0.6293,3.8462,9.5101,51.15775,41.0576,0.6955,0.6220
Aguaruna-Romanian,0.21215,0.0021,0.80125,0.5401,1110.0537,69.83575,35.7363,31.1057,0.6766,0.6331
Aguaruna-Lithuanian,0.2215,0.0040,0.8722,0.6110,1026.0318,74.2885,36.2728,31.0898,0.6809,0.6716
Aguaruna-Wolof,0.1994,0.00185,0.5178,0.4499,19.8697,333.2073,51.36825,41.8757,0.7771,0.5642
Aguaruna-Zulu,0.2145,0,0.76895,0.5473,639.0342,14.2194,40.6827,45.6511,0.7123,0.5347
Aguaruna-Thai-tok,0.1365,0.0021,0.7780,0.6019,611.7835,49.5897,39.7002,31.9004,0.6482,0.6843
Aguaruna-Malayalam,0.1119,0,1.1725,1.5338,592.0343,6272.9095,40.0196,46.26895,0.6027,0.5247
Aguaruna-Hebrew,0.13515,0.00185,0.71735,0.6391,354.38575,59.7738,42.69805,29.7127,0.6182,0.6649
Aguaruna-Kabyle,0.1155,0,0.3231,0.6909,5.1430,12.0070,42.6629,34.6966,0.7325,0.6872
Aguaruna-French,0.2153,0.0049,0.7877,0.5732,730.9157,60.5519,38.9533,36.1578,0.65775,0.5973
Aguaruna-Afrikaans,0.2081,0.0028,0.7560,0.6088,834.3664,62.3472,38.03545,30.2816,0.6515,0.6583
Nepali-Marathi,0.9743,0.0423,0.5404,0.7855,1.6123,1391.4337,33.6876,32.6248,1.2526,0.6861
Nepali-Lukpa,0.1340,0,0.8740,0.8958,1465.0095,3433.0372,41.0812,57.4948,0.6894,0.4836
Nepali-Turkish,0.9386,0.01095,3.85325,3.4969,1.1485,13402.1461,33.6391,44.6148,1.1858,0.5404
Nepali-Farsi,0.9255,0.0090,1.33055,1.0709,0.8583,2304.1223,32.50435,48.7628,1.1788,0.4585
Nepali-Paite,0.1086,0,0.8959,1.3228,968.5400,3434.2105,37.81905,45.1033,0.5579,0.5741
Nepali-Hindi,0.9362,0.0250,1.5157,1.2654,8.8522,2795.2645,31.71605,48.7285,1.1928,0.5427
Nepali-Cherokee,0.0020,0,1.91245,1.2834,12766.8757,27464.1080,42.9571,61.9757,0.1735,0.54515
Nepali-K'iche'-SIL,0.2282,0,0.8546,1.1447,952.1165,3421.0472,38.6072,47.7514,0.73605,0.5887
Nepali-Uma,0.2935,0.00115,1.0500,0.7627,855.6557,1757.7846,42.4631,41.3672,0.7817,0.5950
Nepali-Russian,0.9754,0.0108,1.5578,1.3776,0.2293,3426.2715,32.5152,44.7386,1.2100,0.5652
Nepali-Syriac,0,0,5.8670,8.5116,1491943.3474,1168741.9566,32.6468,30.1716,0.16255,0.5235
Nepali-Xhosa,0.8973,0,1.4344,0.8094,90.9705,3326.43015,37.0803,50.00885,1.1431,0.5132
Nepali-English-WEB,0.9767,0.01555,1.4833,1.3950,57.8826,3331.9092,36.3779,48.5845,1.2737,0.5270
Nepali-K'iche',0,0.00115,2.2777,2.1004,795207.0820,874966.7834,1.9434,1.9599,0.35565,-0.0090
Nepali-Thai,0.9465,0.0167,1.5262,1.40265,1.3289,3512.5598,32.4586,38.5931,1.1808,0.6277
Nepali-Campa,0.0619,0,1.04635,0.9003,1025.5455,2778.2253,37.5167,44.4693,0.5402,0.5845
Nepali-Q'eqchi',0.1981,0,0.9247,1.0834,959.8572,3415.3112,39.8581,44.0631,0.6913,0.5976
Nepali-Tagalog,0.9543,0.0097,1.4858,1.3201,11.3256,3467.0037,34.0331,36.3964,1.1950,0.6525
Nepali-Barasana,0.1228,0,2.8982,3.4947,1116.6888,8414.2168,37.5040,63.3196,0.6629,0.4103
Nepali-Nahuatl,0.2626,0.00095,0.8283,0.7734,733.0570,307.5558,42.93625,47.2009,0.7501,0.5979
Nepali-Portuguese,0.9740,0.0091,1.5101,1.4480,0.8293,3462.8134,33.1629,43.0512,1.22035,0.58055
Nepali-Zarma,0.2195,0,0.9014,1.0989,751.9033,3362.714,43.0620,46.5648,0.7344,0.5272
Nepali-Korean,0.9362,0.01185,1.4532,1.16925,95.3744,3294.7527,37.2983,48.6674,1.1936,0.50935
Nepali-Coptic,0,0,5.3114,4.96825,342093.6797,1411444.49515,41.7366,34.1465,-0.0344,0.5935
Nepali-Hungarian,0.9464,0.01005,1.4478,1.5564,63.3191,3593.0289,35.5721,31.2302,1.2049,0.6621
Nepali-Shona,0.8987,0.0021,1.3962,1.2276,63.1092,3433.4401,36.7592,42.9079,1.1477,0.5686
Nepali-Cebuano,0.96345,0.0021,1.4583,1.3206,3.3526,3449.9176,33.6589,40.0290,1.1980,0.63365
Nepali-Ewe,0.2425,0,0.8245,1.1089,849.01535,3449.4058,39.8232,46.2513,0.7565,0.6028
Nepali-Norwegian,0.9634,0.0140,1.5444,1.4190,1.0458,3466.99525,32.519,42.3064,1.2071,0.5971
Nepali-Vietnamese-tok,0.9603,0.0117,1.4774,1.5313,2.78125,3544.0952,32.9928,32.4791,1.1933,0.6723
Nepali-Wolaytta,0.1120,0,0.8215,1.0745,1028.8936,809.8772,36.4927,51.5917,0.6940,0.5097
Nepali-Kannada,0.962,0,1.4980,1.60505,9.2192,170189.3923,34.36115,54.3565,1.2128,0.5958
Nepali-Dinka,0.1193,0,0.8408,1.2470,1069.7454,2900.0140,35.7093,47.4694,0.5969,0.5607
Nepali-Indonesian,0.9699,0.0123,0.7711,0.6532,1.0365,1863.6361,33.42105,43.8750,1.2178,0.57865
Nepali-English,0.9720,0.00645,1.4196,1.2303,105.9375,3396.6281,37.706,47.8645,1.2564,0.4353
Nepali-Myanmar,0.9316,0,1.4267,0.8576,133.4796,3516.3879,36.3712,49.0724,1.1904,0.6572
Nepali-Jakalteko,0.1508,0,0.9294,0.88715,1120.4026,1865.2854,37.9340,49.7676,0.6345,0.5834
Nepali-Slovene,0.96385,0.0091,1.5010,1.5547,15.8648,3602.9645,34.13455,30.38065,1.2155,0.65145
Nepali-Greek,0.8863,0.0104,1.34865,1.5700,126.2883,3594.1372,37.5884,30.2444,1.13255,0.6591
Nepali-Chinantec,0.0972,0,0.9992,0.8198,1447.0426,892.7258,40.52045,52.2762,0.69235,0.5887
Nepali-Icelandic,0.9690,0.02185,1.5599,1.50115,15.6580,3570.0954,31.3010,31.9156,1.2047,0.6756
Nepali-Polish,0.9664,0.01005,1.4959,1.4161,0.6112,3467.7600,33.0705,43.4673,1.1971,0.5838
Nepali-Romani,0.2859,0.00115,0.7715,1.0884,687.1096,2943.6724,43.3375,38.1931,0.7535,0.6173
Nepali-Maori,0.9451,0,1.4495,1.2251,45.3712,3436.2372,35.7351,41.8236,1.1827,0.6006
Nepali-Cabecar,0.2558,0.0021,0.9027,1.2237,989.0040,3427.6954,41.6301,40.73265,0.7480,0.6244
Nepali-Mam,0.1387,0,0.7966,1.0309,1085.3937,2354.3668,38.4289,43.3888,0.6430,0.6051
Nepali-Latvian,0.9437,0.0132,1.5463,1.5638,9.4603,3581.6226,31.8696,30.8513,1.1853,0.6664
Nepali-Chinese,0.9531,0.0180,1.4231,1.4937,411.0843,3552.6576,41.8656,32.6023,1.2222,0.668
Nepali-Japanese-tok,0.9676,0.0224,1.4849,1.3597,83.3380,3470.1538,37.3627,37.2442,1.2185,0.6389
Nepali-Albanian,0.9685,0.02095,1.5096,1.3186,1.7474,3340.8266,33.5035,48.0939,1.2165,0.5398
Nepali-Basque,0.7915,0.00185,1.38575,1.5219,191.1876,3572.0787,37.77195,33.7241,1.0659,0.6467
Nepali-Esperanto,0.9670,0.0145,1.4974,1.5634,1.8662,3584.5641,33.2902,30.7555,1.2194,0.6614
Nepali-Gujarati,0.9839,0.00115,0.9072,1.2020,7.8621,30963.1886,33.4461,58.9296,1.2705,0.5827
Nepali-Serbian,0.9611,0.01885,1.4851,1.4589,11.0959,3564.48395,34.2622,34.9388,1.2048,0.6281
Nepali-Vietnamese,0.9654,0.0119,1.5065,1.5286,0.2854,3568.9196,32.6373,32.2764,1.2001,0.6702
Nepali-German,0.9643,0.0149,1.52025,1.34015,5.1982,3390.8206,33.8168,46.2216,1.2048,0.5588
Nepali-Telugu,0.8919,0.0050,1.4773,1.4331,40.70815,3501.6803,35.0776,34.5761,1.1615,0.6636
Nepali-Creole,0.9654,0.00095,1.5273,1.2601,38.29965,3457.1888,36.3686,41.4735,1.2146,0.5818
Nepali-Quichua,0.1902,0.00095,0.7141,0.7077,759.3914,800.8486,41.3597,44.7126,0.6414,0.5984
Nepali-Achuar,0.1632,0,1.2977,1.3339,980.6914,3334.30915,38.96355,44.7926,0.6719,0.5749
Nepali-Malagasy,0.9491,0.0087,1.4738,1.50635,39.8206,3563.3463,36.5491,33.04615,1.1920,0.6470
Nepali-Camsa,0.2107,0.00095,9.3702,9.76765,67143.560,174236.9747,41.8790,56.9616,0.6797,0.4485
Nepali-Swedish,0.97135,0.0141,1.57705,1.3969,1.8918,3435.7592,32.4646,43.8739,1.2066,0.59185
Nepali-Aukan,0.1624,0.00115,0.91465,0.8431,925.2361,1314.0510,39.8472,41.4216,0.7490,0.59305
Nepali-Japanese,0.9722,0.02545,1.5099,1.4553,33.5823,3521.5148,35.9204,34.0774,1.2256,0.6488
Nepali-Spanish,0.9725,0.0162,1.50805,1.5100,11.4076,3543.87945,34.8855,37.2796,1.2306,0.6205
Nepali-Shuar,0.0557,0,0.9472,1.0988,916.177,2365.3642,36.5250,44.6872,0.5836,0.5877
Nepali-Dutch,0.8992,0.0114,2.3608,1.9199,5.9384,3327.5570,31.7803,33.8241,1.1397,0.61155
Nepali-Slovak,0.9576,0.0140,1.4694,1.5761,1.0817,3585.4225,32.60205,30.5845,1.2009,0.6614
Nepali-Amuzgo,0.1876,0,0.98615,0.9071,1288.7903,3383.0038,40.0028,55.3565,0.6750,0.55985
Nepali-Swahili,0.97275,0.0108,1.5523,1.1574,2.1636,3297.6882,32.5040,49.5986,1.2241,0.4597
Nepali-Chinese-tok,0.9526,0.0180,1.4231,1.4936,411.0842,3553.1319,41.8656,32.6023,1.2222,0.668
Nepali-Danish,0.9655,0.0119,1.5402,1.5676,5.5939,3561.9416,33.7833,31.5301,1.20675,0.64305
Nepali-Amharic,0.9145,0.00095,1.3659,1.9086,47.8111,4095.4792,35.0779,50.4386,1.1745,0.4553
Nepali-Somali,0.9364,0.00095,1.5002,0.7724,37.0147,5859.3929,35.3917,41.8776,1.1774,0.3176
Nepali-Croatian,0.96575,0.01465,1.4975,1.4445,0.7367,3547.0518,32.0601,34.9726,1.2112,0.62965
Nepali-Italian,0.9672,0.0205,1.5578,1.5657,10.39725,3591.0559,34.2097,30.9660,1.2292,0.64805
Nepali-Akawaio,0.0988,0.0021,0.8888,1.1587,1300.6765,3428.4722,37.9174,41.7397,0.6780,0.6030
Nepali-Czech,0.9573,0.0126,1.4961,1.3953,33.0789,3478.39605,35.3066,43.6046,1.2063,0.5821
Nepali-Tachelhit,0.0495,0,0.9372,1.20985,870.4352,3428.70695,42.5201,43.1418,0.63545,0.61125
Nepali-Romanian,0.9672,0.0185,1.5386,1.5586,16.8831,3568.2790,31.3740,32.2898,1.2022,0.6414
Nepali-Lithuanian,0.9709,0.0167,1.5970,1.5552,7.6175,3593.8902,31.820,32.2801,1.2129,0.6722
Nepali-Wolof,0.34505,0.00095,0.9040,1.1324,624.0747,2825.4667,42.71605,44.07215,0.8573,0.5553
Nepali-Zulu,0.9215,0,1.5024,0.9273,17.2837,3326.5383,35.1369,48.2557,1.1610,0.53255
Nepali-Thai-tok,0.9377,0.0124,1.5179,1.4964,24.3572,3554.8899,34.4139,33.1546,1.1679,0.6854
Nepali-Malayalam,0.7971,0.0087,1.0157,1.1838,26.8965,2355.5995,34.6985,48.9398,1.0927,0.5519
Nepali-Hebrew,0.9292,0.0085,1.4478,1.53165,118.93825,3573.97305,36.6494,30.8012,1.1605,0.6591
Nepali-Kabyle,0.1064,0.0021,0.8882,1.1774,967.08115,3484.9697,36.4777,36.17925,0.6317,0.6538
Nepali-French,0.9718,0.01645,1.49955,1.5201,6.3739,3555.5463,33.8303,37.7563,1.2337,0.6193
Nepali-Afrikaans,0.9720,0.0131,1.47755,1.56835,0.5870,3564.40285,33.1453,31.41535,1.2223,0.6541
Marathi-Lukpa,0.1376,0.00095,0.88745,0.9229,1555.6715,2178.1790,40.138,36.1848,0.6931,0.5044
